Year,Yearly Return %
2016,-1.5165279436404333
2017,38.24456964130538
2018,-1.277931271424504
2019,3.9721030162984228
2020,43.55396890570486
2021,55.64358595747028
2022,10.437308782326827
2023,24.880494843706067
2024,13.63763132770277
