YearMonth,NAV (Rs),Monthly Return %,Drawdown %
2015-01,130.7826,,0.0
2015-02,130.3449,-0.3346775488482501,-0.33467754884824635
2015-03,129.2284,-0.8565735981998501,-1.1883843875255644
2015-04,128.9805,-0.19183089785216323,-1.377935596937204
2015-05,122.7886,-4.800648159993182,-6.112433917050128
2015-06,121.8979,-0.7253930739498538,-6.793487818715942
2015-07,129.7263,6.422095868755728,-0.8076762505103837
2015-08,122.7557,-5.373312890292869,-6.137590168722749
2015-09,123.9445,0.9684275353405214,-5.228600746582495
2015-10,123.3941,-0.4440697247558467,-5.64945183839441
2015-11,130.4624,5.728231738794642,-0.24483379287458715
2015-12,132.9748,1.9257655845668742,0.0
2016-01,125.4013,-5.695440038262878,-5.695440038262876
2016-02,109.9401,-12.329377765621253,-17.322605486152256
2016-03,121.6542,10.654983941255281,-8.5133423776535
2016-04,128.1102,5.3068451397485505,-3.6582871341036016
2016-05,129.6244,1.1819511639198366,-2.5195751375448427
2016-06,132.7575,2.41706036826399,-0.16341442137908424
2016-07,134.4843,1.3007174735890636,0.0
2016-08,138.8553,3.250193517012767,0.0
2016-09,138.5722,-0.20388130665519588,-0.20388130665519455
2016-10,142.1217,2.5614805855719958,0.0
2016-11,132.7825,-6.571269552784697,-6.5712695527846945
2016-12,130.9582,-1.3739009282096593,-7.854887747613488
2017-01,134.504,2.7075815031055495,-5.359983732252016
2017-02,139.9299,4.034006423600789,-1.542199396714225
2017-03,146.6926,4.832919912041667,0.0
2017-04,152.1788,3.7399296215351097,0.0
2017-05,152.4573,0.18300840852996103,0.0
2017-06,154.1923,1.1380235646308634,0.0
2017-07,159.1024,3.184400258638087,0.0
2017-08,160.9025,1.1314097084645036,0.0
2017-09,160.2146,-0.427525986233912,-0.4275259862339077
2017-10,169.5497,5.82662254251487,0.0
2017-11,174.7723,3.080276756608824,0.0
2017-12,181.0426,3.5876966773338737,0.0
2018-01,180.4911,-0.3046244364586004,-0.3046244364586038
2018-02,179.2919,-0.6644094916591348,-0.967009974448
2018-03,174.3756,-2.742064755853446,-3.682558690606521
2018-04,182.1829,4.477289253771732,0.0
2018-05,177.298,-2.681316413340651,-2.6813164133406526
2018-06,175.1641,-1.2035668761068985,-3.852611853252967
2018-07,182.137,3.9807814500802507,-0.02519446117060874
2018-08,188.7891,3.652250778260324,0.0
2018-09,175.6981,-6.934192704981368,-6.934192704981368
2018-10,171.9656,-2.124382676875858,-8.911266593251408
2018-11,178.2206,3.6373553780523427,-5.59804564988127
2018-12,178.729,0.28526444193321954,-5.3287504416303575
